City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Kamaishi,JP,39.2667,141.8833,65.1,72,0,3.89,clear sky
216,Myitkyina,MM,25.3833,97.4,76.86,87,100,1.12,overcast clouds
217,Aykhal,RU,66.0,111.5,19.47,97,100,5.95,overcast clouds
218,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,92.16,35,6,6.78,clear sky
219,Celestun,MX,20.8667,-90.4,82.38,51,27,6.76,scattered clouds
220,Guerrero Negro,MX,27.9769,-114.0611,74.61,62,2,13.8,clear sky
221,Leningradskiy,RU,69.3833,178.4167,26.29,80,100,9.17,overcast clouds
222,Hurghada,EG,27.2574,33.8129,95.04,24,0,11.5,clear sky
223,Mayo,US,38.8876,-76.5119,65.17,92,100,5.01,overcast clouds
224,Srednekolymsk,RU,67.45,153.6833,25.07,91,100,7.34,overcast clouds
225,Lenoir,US,35.2335,-77.6497,74.14,69,35,12.57,scattered clouds
226,Kudahuvadhoo,MV,2.6708,72.8944,82.45,75,100,17.38,overcast clouds
227,Dingle,PH,10.9995,122.6711,76.1,93,28,6.49,scattered clouds
228,Mount Isa,AU,-20.7333,139.5,69.57,49,75,0.0,broken clouds
229,Broken Hill,AU,-31.95,141.4333,54.61,66,0,9.91,clear sky
230,Riyadh,SA,24.6877,46.7219,84.34,15,0,6.29,clear sky
231,Savelugu,GH,9.6244,-0.8253,76.95,78,19,4.52,few clouds
232,Sanchor,IN,24.7553,71.7722,80.62,66,0,8.57,clear sky
233,Saint George,US,37.1041,-113.5841,83.43,28,0,3.0,clear sky
234,Isangel,VU,-19.55,169.2667,75.25,88,21,0.94,few clouds
235,Cherskiy,RU,68.75,161.3,29.3,98,100,2.77,light snow
236,Nicoya,CR,10.1483,-85.452,80.49,81,100,2.55,overcast clouds
237,Narsaq,GL,60.9167,-46.05,38.35,94,100,3.85,light rain
238,Baghdad,IQ,33.3406,44.4009,78.71,27,0,2.3,clear sky
239,Ponta Do Sol,PT,32.6667,-17.1,74.01,83,79,4.18,broken clouds
240,Krasnyy Chikoy,RU,50.3643,108.7512,24.04,90,97,2.82,overcast clouds
241,San Ramon,US,37.7799,-121.978,76.66,62,14,1.99,few clouds
242,Boca Do Acre,BR,-8.7522,-67.3978,94.84,34,100,3.74,overcast clouds
243,Port Macquarie,AU,-31.4333,152.9167,51.89,82,27,6.67,scattered clouds
244,Moundsville,US,39.9203,-80.7431,52.88,93,100,5.01,light rain
245,Zheleznodorozhnyy,RU,55.7503,38.0042,59.22,95,100,8.95,light rain
246,Fairbanks,US,64.8378,-147.7164,49.23,86,99,3.94,overcast clouds
247,Inuvik,CA,68.3499,-133.7218,33.01,93,100,10.36,overcast clouds
248,Eydhafushi,MV,5.1033,73.0708,82.26,77,100,19.39,overcast clouds
249,Arman,RU,59.7,150.1667,30.54,63,94,8.93,overcast clouds
250,Sumter,US,28.7086,-82.0831,85.19,56,3,5.68,clear sky
251,Micheweni,TZ,-4.9667,39.8333,74.91,73,8,11.65,clear sky
252,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,4.61,broken clouds
253,Buala,SB,-8.145,159.5921,79.16,81,47,4.07,light rain
254,Hualmay,PE,-11.0964,-77.6139,67.82,70,16,11.54,few clouds
255,Coos Bay,US,43.3665,-124.2179,75.99,84,0,1.01,clear sky
256,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,85,0.0,overcast clouds
257,Faya,SA,18.3851,42.4509,66.31,58,5,3.09,clear sky
258,Chuy,UY,-33.6971,-53.4616,63.14,66,8,9.62,clear sky
259,Bredasdorp,ZA,-34.5322,20.0403,54.36,85,100,4.38,overcast clouds
260,Klaksvik,FO,62.2266,-6.589,50.92,88,100,20.29,overcast clouds
261,Hoi An,VN,15.8794,108.335,78.76,91,100,4.7,overcast clouds
262,Petatlan,MX,17.5167,-101.2667,86.97,63,91,4.9,overcast clouds
263,Maracas,BR,-13.4411,-40.4308,73.51,60,39,10.4,scattered clouds
264,Dawei,MM,14.0833,98.2,76.51,94,100,2.53,light rain
265,Bubaque,GW,11.2833,-15.8333,81.45,76,63,11.97,broken clouds
266,Ongole,IN,15.5,80.05,77.29,82,100,7.25,overcast clouds
267,Soller,ES,39.7662,2.7152,73.02,68,58,1.01,broken clouds
268,Kaitangata,NZ,-46.2817,169.8464,37.0,90,14,1.81,few clouds
269,Ko Samui,TH,9.5357,99.9357,81.9,77,100,14.5,overcast clouds
270,Diffa,NE,13.3154,12.6113,92.17,31,0,7.29,clear sky
271,Shaki,AZ,41.0833,47.1667,68.04,45,4,7.27,clear sky
272,Poya,NC,-21.35,165.15,65.88,76,67,1.52,broken clouds
273,Novyy Svit,UA,47.8059,38.0211,66.11,68,100,6.93,overcast clouds
274,Sumbe,AO,-11.2061,13.8437,73.54,86,40,8.79,scattered clouds
275,Yeppoon,AU,-23.1333,150.7333,60.58,83,52,4.79,broken clouds
276,Nangwa,TZ,-4.4667,35.45,61.18,61,80,8.23,broken clouds
277,Olafsvik,IS,64.8945,-23.7142,46.96,90,100,13.02,overcast clouds
278,Necochea,AR,-38.5473,-58.7368,70.84,45,70,5.55,broken clouds
279,Vestmannaeyjar,IS,63.4427,-20.2734,47.84,90,100,27.49,overcast clouds
280,Pamulang,ID,-6.3428,106.7383,79.95,78,93,3.02,overcast clouds
281,Carlsbad,US,33.1581,-117.3506,79.79,68,40,5.75,scattered clouds
282,Talnakh,RU,69.4865,88.3972,29.21,97,100,5.41,light snow
283,Sao Borja,BR,-28.6606,-56.0044,76.95,53,0,6.17,clear sky
284,Rivadavia,AR,-33.1905,-68.4608,81.23,18,0,14.03,clear sky
285,Flin Flon,CA,54.7682,-101.865,49.84,71,100,5.75,overcast clouds
286,Kolokani,ML,13.5728,-8.0339,81.72,62,70,3.8,broken clouds
287,Grand Gaube,MU,-20.0064,57.6608,72.0,70,14,4.0,few clouds
288,Panaba,MX,21.2833,-88.2667,88.61,41,31,12.24,scattered clouds
289,Piotrkow Trybunalski,PL,51.4055,19.7032,54.1,10,100,13.78,overcast clouds
290,Burns Lake,CA,54.2331,-125.7533,58.42,49,5,5.79,clear sky
291,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,36,0,12.66,clear sky
292,Cheremukhovo,RU,60.3484,59.9851,32.86,86,100,3.74,overcast clouds
293,Denpasar,ID,-8.65,115.2167,80.26,94,40,4.61,scattered clouds
294,Loukhi,RU,66.0764,33.0381,36.52,91,97,4.07,overcast clouds
295,Khatanga,RU,71.9667,102.5,28.36,96,100,13.67,light snow
296,Port-Gentil,GA,-0.7193,8.7815,76.96,88,40,5.75,scattered clouds
297,Fuyang,CN,32.9,115.8167,81.93,52,10,7.16,clear sky
298,Mecca,SA,21.4267,39.8261,84.4,57,0,0.94,clear sky
299,Tanabe,JP,33.7333,135.3667,67.69,75,92,4.36,overcast clouds
300,Evensk,RU,61.95,159.2333,30.25,83,86,8.59,overcast clouds
301,Thinadhoo,MV,0.5333,72.9333,81.27,74,98,12.93,overcast clouds
302,Torbat-E Jam,IR,35.244,60.6225,62.46,23,0,13.82,clear sky
303,Sangmelima,CM,2.9333,11.9833,67.98,98,50,1.52,moderate rain
304,Sulina,RO,45.1559,29.6536,70.34,73,100,13.47,overcast clouds
305,New Norfolk,AU,-42.7826,147.0587,44.1,76,26,3.33,scattered clouds
306,East London,ZA,-33.0153,27.9116,59.94,94,0,4.61,clear sky
307,Da Lat,VN,11.9465,108.4419,61.5,98,100,0.02,overcast clouds
308,Te Anau,NZ,-45.4167,167.7167,35.06,98,97,2.01,overcast clouds
309,La Asuncion,VE,11.0333,-63.8628,89.33,62,100,14.97,overcast clouds
310,Itaituba,BR,-4.2761,-55.9836,96.96,46,40,8.05,scattered clouds
311,Chapais,CA,49.7834,-74.8492,42.58,53,99,9.73,overcast clouds
312,Axim,GH,4.8699,-2.2405,75.63,90,28,7.52,scattered clouds
313,Yulara,AU,-25.2406,130.9889,56.86,79,100,7.9,overcast clouds
314,Butte,US,39.6499,-121.5677,86.99,37,0,5.7,clear sky
315,Altagracia De Orituco,VE,9.8601,-66.3814,81.72,71,100,3.42,overcast clouds
316,Saldanha,ZA,-33.0117,17.9442,59.05,80,25,15.05,scattered clouds
317,Petrivka,UA,46.9695,30.9591,69.1,64,98,11.16,overcast clouds
318,Urumqi,CN,43.801,87.6005,32.95,87,0,2.24,clear sky
319,Coahuayana,MX,18.7333,-103.6833,87.96,63,100,5.99,overcast clouds
320,Lukovetskiy,RU,64.2956,41.9211,42.96,96,100,4.14,overcast clouds
321,Roald,NO,62.5833,6.1333,55.17,93,75,4.61,broken clouds
322,Vao,NC,-22.6667,167.4833,70.41,73,100,11.03,overcast clouds
323,Buraydah,SA,26.326,43.975,79.27,14,0,10.8,clear sky
324,Shupiyan,IN,33.7167,74.8333,52.39,48,0,5.5,clear sky
325,Vitim,RU,59.4511,112.5578,28.35,73,100,3.85,overcast clouds
326,Grevenbroich,DE,51.091,6.5827,58.91,77,0,4.61,clear sky
327,Arawa,PG,-6.2132,155.5367,75.4,90,8,1.45,light rain
328,Kinablangan,PH,7.6947,126.5503,77.81,86,33,3.49,scattered clouds
329,Kihei,US,20.785,-156.4656,82.85,77,4,4.09,clear sky
330,Bonavista,CA,48.6499,-53.1147,61.57,64,99,12.26,overcast clouds
331,Noyabrsk,RU,63.1994,75.4507,28.69,74,9,10.22,clear sky
332,Egvekinot,RU,66.3167,-179.1667,23.41,80,100,7.34,overcast clouds
333,Gornyak,RU,50.9942,81.4661,28.67,88,11,4.99,few clouds
334,Lavrentiya,RU,65.5833,-171.0,36.32,74,70,18.01,broken clouds
335,Lipari,IT,38.4674,14.954,72.32,62,60,18.68,broken clouds
336,Korsakovo,RU,53.2677,37.3569,58.89,91,100,11.95,light rain
337,Kisangani,CD,0.5167,25.2,74.71,77,79,0.78,broken clouds
338,Moron,AR,-34.6534,-58.6198,78.8,47,89,2.68,overcast clouds
339,Kloulklubed,PW,7.0419,134.2556,84.13,70,97,10.71,heavy intensity rain
340,Cabedelo,BR,-6.9811,-34.8339,79.34,68,40,15.57,scattered clouds
341,Bandarbeyla,SO,9.4942,50.8122,77.97,78,100,16.82,overcast clouds
342,San Quintin,MX,30.4833,-115.95,71.6,65,0,11.16,clear sky
343,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,75,12.66,broken clouds
344,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.81,48,7,15.37,clear sky
345,Kharan,PK,28.5833,65.4167,81.43,15,0,0.85,clear sky
